lat,lon
45.475542,9.038495
45.54907,9.038173
45.476571,9.038108
45.487963,9.037947
45.475435,9.037937
45.567367,9.03775
45.527836,9.03732
45.475188,9.037175
45.475542,9.037153
45.475658,9.037089
45.475803,9.036778
45.475843,9.036252
45.545587,9.036177
45.475653,9.036123
45.480798,9.035609
45.506618,9.03548
45.486106,9.035372
45.465945,9.035212
45.47617,9.035104
45.474587,9.034943
45.486076,9.034825
45.477651,9.034589
45.490428,9.034364
45.47748,9.033838
45.508862,9.033774
45.524585,9.03376
45.505864,9.033591
45.48465,9.033484
45.476017,9.033388
45.525753,9.033087
45.505129,9.032819
45.475663,9.032722
45.529892,9.032669
45.501349,9.032508
45.54921,9.031896
45.529204,9.031843
45.483995,9.03181
45.54504,9.031156
45.48475,9.031049
45.551525,9.03087
45.475462,9.030663
45.51176,9.030502
45.525486,9.030298
45.470965,9.029944
45.509103,9.029869
45.53812,9.029343
45.521579,9.028524
45.512895,9.028066
45.536052,9.02754
45.475141,9.02732
45.475876,9.027288
45.526901,9.026843
45.526901,9.026843
45.475168,9.026757
45.538895,9.026682
45.504244,0.026682
45.479952,9.026323
45.478857,9.026242
45.497248,9.02621
45.474767,9.026178
45.478753,9.026103
45.478733,9.026087
45.477915,9.026081
45.476879,9.026019
45.48019,9.025936
45.477741,9.025894
45.477567,9.025856
45.502745,9.025684
45.480714,9.02547
45.526981,9.025427
45.474734,9.025389
45.474773,9.025148
45.485632,9.025116
45.474694,9.025022
45.526875,9.024869
45.479679,9.024729
45.474557,9.02459
45.492118,9.024306
45.527629,9.024188
45.542535,9.024118
45.543045,9.024043
45.474319,9.023893
45.543078,9.023823
45.476251,9.023603
45.527591,9.02355
45.543702,9.023362
45.467402,9.023088
45.542578,9.022948
45.54464,9.022877
45.538647,9.022723
45.541261,9.022573
45.53124,9.022348
45.538378,9.021972
45.534981,9.021768
45.528296,9.021682
45.536779,9.021446
45.536866,9.021232
45.540153,9.021092
45.540703,9.020806
45.538808,9.020642
45.505,9.020333
45.539468,9.020202
45.514705,9.019735
45.528366,9.019665
45.528343,9.019596
45.503666,9.019333
45.478068,9.01914
45.48036,9.019097
45.477978,9.019086
45.504956,9.019043
45.502933,9.018783
45.527482,9.0187
45.469147,9.018501
45.480794,9.018196
45.529711,9.018078
45.52857,9.018051
45.48781,9.017943
45.509837,9.017595
45.480367,9.017595
45.484329,0.017423
45.527329,9.017359
45.481396,9.017187
45.528857,9.017107
45.526674,9.017021
45.510682,9.016779
45.486834,0.016071
45.473163,9.014784
45.481556,9.014752
45.523063,9.014424
45.477935,9.013271
45.479525,9.012928
45.484563,0.012874
45.510825,9.012767
45.478142,9.012402
45.516534,9.011898
45.524271,9.01127
45.511266,9.011222
45.480531,9.010648
45.483895,9.010643
45.486547,9.010288
45.509219,9.010182
45.48316,9.010063
45.480761,9.009891
45.489456,9.009731
45.482906,9.009655
45.481022,9.009613
45.481382,9.009548
45.509663,9.009527
45.480792,9.009436
45.482324,9.009001
45.482324,9.009001
45.482932,9.00825
45.527322,9.007966
45.480353,9.007531
45.48048,9.007209
45.52622,9.007172
45.505967,9.00693
45.477881,0.006201
45.483652,9.005934
45.504731,0.005855
45.483564,9.005589
45.483564,9.005589
45.482839,9.005493
45.482639,9.0053
45.474807,0.005064
45.509363,9.004645
45.523924,9.004098
45.475502,9.003755
45.509376,9.003529
45.508281,0.0031
45.510191,9.002993
45.478062,9.001668
45.478062,9.001668
45.478065,9.001469
45.486848,0.001427
45.486848,0.001427
45.477798,9.001212
45.477674,9.001158
45.5073509,9.1277583
45.5145956,9.33857
45.5073509,9.1277583
45.51312000000001,9.127595
45.5073509,9.1277583
45.51043199999999,9.1299702
45.5155598,9.1161289
45.5073509,9.1277583
45.5073509,9.1277583
45.5117321,9.1232697
45.5073509,9.1277583
45.5073509,9.1277583
45.5149571,9.1211454
45.5073509,9.1277583
45.5073509,9.1277583
45.5185658,9.1149099
45.5073509,9.1277583
45.5073509,9.1277583
45.515861,9.129694
45.5073509,9.1277583
45.51508990000001,9.1336483
45.5073509,9.1277583
45.5073509,9.1277583
45.5231081,9.1292042
45.52150289999999,9.1203547
45.5073509,9.1277583
45.5073509,9.1277583
45.5247339,9.1369032
45.5073509,9.1277583
